Day,Start Time,Duration,Weeks,Module,Type,Activity Code,Activity Name,Room,Staff
Monday,13:30,2 hours,05-Oct,CSC1021/P01/03 <5-10>,Practical,CSC1021/P01/03 <5-10>,Programming I,USB.3.018 (C),Warrender JD Dr & Heels LE Miss & Speirs NA Dr
Monday,16:30,1 hour,"5-9, 11-15, 19",CSC1023/L01/01,Lecture,CSC1023/L01/01,The Software Engineering Professional,USB.1.006,Barnes JA Mr & Marshall LF Dr
Monday,15:30,1 hour,"22-30, 35-37",CSC1023/L03/01,Lecture,CSC1023/L03/01,The Software Engineering Professional,USB.1.006,Barnes JA Mr & Marshall LF Dr
Monday,12:30,1 hour,05-Sep,CSC1021/L01/01 <5-9>,Lecture,CSC1021/L01/01 <5-9>,Programming I,USB.1.006,Speirs NA Dr
Monday,12:30,1 hour,19,CSC1021/L01/01 <19>,Lecture,CSC1021/L01/01 <19>,Programming I,USB.1.006,Speirs NA Dr & Lord P Dr
Monday,12:30,1 hour,Nov-15,CSC1021/L01/01 <11-15>,Lecture,CSC1021/L01/01 <11-15>,Programming I,USB.1.006,Lord P Dr
Monday,13:30,2 hours,Nov-15,CSC1021/P01/01 <11-15>,Practical,CSC1021/P01/01 <11-15>,Programming I,USB.3.005 (A),Warrender JD Dr & Heels LE Miss & Lord P Dr
Monday,13:30,2 hours,05-Oct,CSC1021/P01/01 <5-10>,Practical,CSC1021/P01/01 <5-10>,Programming I,USB.3.005 (A),Warrender JD Dr & Heels LE Miss & Speirs NA Dr
Monday,13:30,2 hours,19,CSC1021/P01/01 <19>,Practical,CSC1021/P01/01 <19>,Programming I,USB.3.005 (A),Warrender JD Dr & Heels LE Miss & Speirs NA Dr & Lord P Dr
Tuesday,11:30,1 hour,05-Sep,CSC1025/L04/01 <5-9>,Lecture,CSC1025/L04/01 <5-9>,Mathematics for Computer Science,USB.1.006,Khomenko VV Dr
Tuesday,14:30,1 hour,19,CSC1025/T01/01 <19>,Tutorial,CSC1025/T01/01 <19>,,USB.3.005 (A),Warrender JD Dr & Steggles LJ Dr & Khomenko VV Dr
Tuesday,14:30,1 hour,05-Oct,CSC1025/T01/01 <5-10>,Tutorial,CSC1025/T01/01 <5-10>,,USB.3.005 (A),Warrender JD Dr & Khomenko VV Dr
Tuesday,14:30,1 hour,19,CSC1025/T01/02 <19>,Tutorial,CSC1025/T01/02 <19>,,USB.3.015 (B),Warrender JD Dr & Steggles LJ Dr & Khomenko VV Dr
Tuesday,14:30,1 hour,05-Oct,CSC1025/T01/02 <5-10>,Tutorial,CSC1025/T01/02 <5-10>,,USB.3.015 (B),Warrender JD Dr & Khomenko VV Dr
Tuesday,14:30,1 hour,19,CSC1025/T01/03 <19>,Tutorial,CSC1025/T01/03 <19>,,USB.3.018 (C),Warrender JD Dr & Steggles LJ Dr & Khomenko VV Dr
Tuesday,14:30,1 hour,05-Oct,CSC1025/T01/03 <5-10>,Tutorial,CSC1025/T01/03 <5-10>,,USB.3.018 (C),Warrender JD Dr & Khomenko VV Dr
Tuesday,14:30,1 hour,Nov-15,CSC1025/T01/01 <11-15>,Tutorial,CSC1025/T01/01 <11-15>,,USB.3.005 (A),Warrender JD Dr & Steggles LJ Dr
Tuesday,14:30,1 hour,Nov-15,CSC1025/T01/02 <11-15>,Tutorial,CSC1025/T01/02 <11-15>,,USB.3.015 (B),Warrender JD Dr & Steggles LJ Dr
Tuesday,14:30,1 hour,Nov-15,CSC1025/T01/03 <11-15>,Tutorial,CSC1025/T01/03 <11-15>,,USB.3.018 (C),Warrender JD Dr & Steggles LJ Dr
Tuesday,12:30,1 hour,"22-27, 37","CSC1026/L01/01 <22-27, 37>",Lecture,"CSC1026/L01/01 <22-27, 37>",Website Design and Construction,USB.1.006,Fernstad SE Dr
Tuesday,12:30,1 hour,"28-30, 35-36","CSC1026/L01/01 <28-30, 35-36>",Lecture,"CSC1026/L01/01 <28-30, 35-36>",Website Design and Construction,USB.1.006,Warrender JD Dr
Tuesday,10:30,1 hour,"6, 8, 12, 14",CSC1023/T01/01,Practical,CSC1023/T01/01,The Software Engineering Professional,USB.Social Learning,Goni-Moreno A Dr & Kharrufa ANS Dr & McGough AS Dr & Dong C Dr & Morisset C Dr & Nesbitt DJ Dr & Solaiman EM Dr & Morgan G Dr & Ushaw G Dr & Fellermann HMA Dr & Bacardit J Dr & Colquhoun J Dr & Pierce KG Dr & Montague K Dr & Steggles LJ Dr & Freitas LJS Dr & Devlin M Dr & Koutny M Dr & Speirs NA Dr & Thomas NA Dr & Ezhilchelvan PD Dr & Lord P Dr & Missier P Dr & Taylor PN Dr & Zuliani P Dr & Ranjan R Professor & Fernstad SE Dr & Riddle S Dr & Bartindale TL Dr & Khomenko VV Dr & Blewitt WF Dr & Guan Y Dr
Tuesday,10:30,1 hour,25,CSC1023/T02/01,Practical,CSC1023/T02/01,The Software Engineering Professional,USB.Social Learning,Goni-Moreno A Dr & Kharrufa ANS Dr & McGough AS Dr & Dong C Dr & Morisset C Dr & Nesbitt DJ Dr & Solaiman EM Dr & Morgan G Dr & Ushaw G Dr & Fellermann HMA Dr & Bacardit J Dr & Colquhoun J Dr & Pierce KG Dr & Montague K Dr & Steggles LJ Dr & Freitas LJS Dr & Devlin M Dr & Koutny M Dr & Speirs NA Dr & Thomas NA Dr & Ezhilchelvan PD Dr & Lord P Dr & Missier P Dr & Taylor PN Dr & Zuliani P Dr & Ranjan R Professor & Fernstad SE Dr & Riddle S Dr & Bartindale TL Dr & Khomenko VV Dr & Guan Y Dr
Tuesday,13:30,2 hours,"22-30, 35-37",CSC1026/P01/01,Practical,CSC1026/P01/01,Website Design and Construction,USB.3.005 (A),Warrender JD Dr & Heels LE Miss & Fernstad SE Dr
Tuesday,13:30,2 hours,"22-30, 35-37",CSC1026/P01/02,Practical,CSC1026/P01/02,Website Design and Construction,USB.3.015 (B),Warrender JD Dr & Heels LE Miss & Fernstad SE Dr
Tuesday,13:30,2 hours,"22-30, 35-37",CSC1026/P01/03,Practical,CSC1026/P01/03,Website Design and Construction,USB.3.018 (C),Warrender JD Dr & Heels LE Miss & Fernstad SE Dr
Tuesday,11:30,1 hour,Nov-15,CSC1025/L04/01 <11-15>,Lecture,CSC1025/L04/01 <11-15>,Mathematics for Computer Science,USB.1.006,Steggles LJ Dr
Tuesday,09:30,1 hour,"22-30, 35-37",CSC1023/P03/03,Practical,CSC1023/P03/03,The Software Engineering Professional,USB.3.018 (C),Barnes JA Mr & Warrender JD Dr
Tuesday,09:30,1 hour,"5-9, 11-15, 19",CSC1023/P01/03,Practical,CSC1023/P01/03,The Software Engineering Professional,USB.3.018 (C),Barnes JA Mr & Warrender JD Dr
Tuesday,09:30,1 hour,"5-9, 11-15, 19",CSC1023/P01/02,Practical,CSC1023/P01/02,The Software Engineering Professional,USB.3.015 (B),Barnes JA Mr & Warrender JD Dr
Tuesday,09:30,1 hour,"22-30, 35-37",CSC1023/P03/02,Practical,CSC1023/P03/02,The Software Engineering Professional,USB.3.015 (B),Barnes JA Mr & Warrender JD Dr
Tuesday,09:30,1 hour,"5-9, 11-15, 19",CSC1023/P01/01,Practical,CSC1023/P01/01,The Software Engineering Professional,USB.3.005 (A),Barnes JA Mr & Warrender JD Dr
Tuesday,09:30,1 hour,"22-30, 35-37",CSC1023/P03/01,Practical,CSC1023/P03/01,The Software Engineering Professional,USB.3.005 (A),Barnes JA Mr & Warrender JD Dr
Tuesday,12:30,1 hour,05-Sep,CSC1025/L01/01 <5-9>,Lecture,CSC1025/L01/01 <5-9>,Mathematics for Computer Science,USB.1.006,Khomenko VV Dr
Tuesday,12:30,1 hour,Nov-15,CSC1025/L01/01 <11-15>,Lecture,CSC1025/L01/01 <11-15>,Mathematics for Computer Science,USB.1.006,Steggles LJ Dr
Wednesday,09:30,1 hour,"22-30, 35-37",CSC1022/L02/01,Lecture,CSC1022/L02/01,Programming II,USB.1.006,Speirs NA Dr
Wednesday,10:30,2 hours,"22-30, 35-37",CSC1022/P02/01,Computing Lab,CSC1022/P02/01,Programming II,USB.3.005 (A),Warrender JD Dr & Heels LE Miss & Speirs NA Dr
Wednesday,10:30,2 hours,"22-30, 35-37",CSC1022/P02/02,Computing Lab,CSC1022/P02/02,Programming II,USB.3.015 (B),Warrender JD Dr & Heels LE Miss & Speirs NA Dr
Wednesday,10:30,2 hours,"22-30, 35-37",CSC1022/P02/03,Computing Lab,CSC1022/P02/03,Programming II,USB.3.018 (C),Warrender JD Dr & Heels LE Miss & Speirs NA Dr
Wednesday,12:30,1 hour,"22-30, 35-37",CSC1022/L3/01,Lecture,CSC1022/L3/01,Programming II,USB.1.006,Speirs NA Dr
Wednesday,10:30,2 hours,"5-15, 19",CSC1021/P02/01,Practical,CSC1021/P02/01,Programming I,USB.3.005 (A),Warrender JD Dr & Heels LE Miss & Speirs NA Dr & Lord P Dr
Wednesday,10:30,2 hours,"5-15, 19",CSC1021/P02/02,Practical,CSC1021/P02/02,Programming I,USB.3.015 (B),Warrender JD Dr & Heels LE Miss & Speirs NA Dr & Lord P Dr
